,,Answer,class_0,class_100,Prompt
0.7,75,0,1,1,Is the mixture between (CC(C=O)=Cc1ccc(C=C(C)C=O)cc1) and (NCCCN(CCCN)CCCN) turbid or dissolved?
0.7,76,0,1,1,Is the mixture between (COc1cc(C=O)ccc1OCCOc1ccc(C=O)cc1OC) and (NCCCN(CCCN)CCCN) turbid or dissolved?
0.7,77,0,0,0,Is the mixture between (Cn1nc2c(C=O)cccc2c1C=O) and (NCCCN(CCCN)CCCN) turbid or dissolved?
0.7,82,0,1,1,Is the mixture between (O=Cc1cc2sc(C=O)cc2s1) and (NC1CC(N)CC(N)C1) turbid or dissolved?
0.7,84,0,1,1,Is the mixture between (O=Cc1c(F)c(F)c(C=O)c(F)c1F) and (NC1CC(N)CC(N)C1) turbid or dissolved?
0.7,93,0,0,0,Is the mixture between (Cn1nc2c(C=O)cccc2c1C=O) and (NC1CC(N)CC(N)C1) turbid or dissolved?
0.7,108,1,1,1,Is the mixture between (CN(CCCN)CCCN) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
0.7,109,1,1,1,Is the mixture between (NCCOCCN) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
0.7,110,1,1,0,Is the mixture between (NCC1=CC(CN)=CC=C1) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
0.7,113,1,0,1,Is the mixture between (N[C@H]1CC[C@H](N)CC1) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
0.7,114,0,1,0,Is the mixture between (NCCN) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.7,116,0,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.7,118,0,1,1,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.7,119,0,0,0,Is the mixture between (NC1=NON=C1N) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.7,124,1,0,1,Is the mixture between (NCc1ccc(CN)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.7,139,0,1,1,Is the mixture between (N[C@@H]1[C@H](CCCC1)N) and (O=Cc1cc(C=O)c(O)c(C=O)c1) turbid or dissolved?
0.7,140,1,0,1,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1cc(C=O)c(O)c(C=O)c1) turbid or dissolved?
0.7,145,1,1,1,Is the mixture between (NCCOCCN) and (O=Cc1cc(C=O)c(O)c(C=O)c1) turbid or dissolved?
0.7,153,0,0,0,Is the mixture between (N[C@H]([C@H](C1=CC=CC=C1)N)C2=CC=CC=C2) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
0.7,155,0,0,1,Is the mixture between (NC1=NON=C1N) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
0.7,158,1,0,0,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
0.7,163,1,1,1,Is the mixture between (NCCOCCN) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
0.7,167,1,0,0,Is the mixture between (N[C@H]1CC[C@H](N)CC1) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
0.7,172,0,0,1,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
0.7,176,1,0,0,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
0.7,180,1,0,1,Is the mixture between (CN(CCCN)CCCN) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
0.7,183,1,0,0,Is the mixture between (NCC(CN)O) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
0.7,193,0,0,0,Is the mixture between (N[C@@H]1[C@H](CCCC1)N) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.7,197,1,0,0,Is the mixture between (NCC1CCC(CN)CC1) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.7,199,1,0,0,Is the mixture between (NCCOCCN) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.7,203,1,0,0,Is the mixture between (N[C@H]1CC[C@H](N)CC1) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.7,210,0,0,0,Is the mixture between (N[C@H]1CCC[C@H](C1)N) and (O=Cc1cccc(-c2cc(-c3cccc(C=O)c3)cc(-c3cccc(C=O)c3)c2)c1) turbid or dissolved?
0.7,224,1,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
0.7,225,1,0,0,Is the mixture between (N[C@H]([C@H](C1=CC=CC=C1)N)C2=CC=CC=C2) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
0.7,231,1,1,1,Is the mixture between (NCCCCCCN) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
0.7,237,1,0,0,Is the mixture between (NCC(CN)O) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
0.7,244,0,0,0,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1cc(-c2cc(-c3csc(C=O)c3)cc(-c3csc(C=O)c3)c2)cs1) turbid or dissolved?
0.7,255,0,0,0,Is the mixture between (NCC(CN)O) and (O=Cc1cc(-c2cc(-c3csc(C=O)c3)cc(-c3csc(C=O)c3)c2)cs1) turbid or dissolved?
0.7,258,0,0,1,Is the mixture between (NCCN) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
0.7,262,0,1,1,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
0.7,268,1,0,1,Is the mixture between (NCc1ccc(CN)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
0.7,271,1,0,1,Is the mixture between (NCCOCCN) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
0.7,277,1,1,1,Is the mixture between (CC(C)(CN)CN) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.7,281,1,0,0,Is the mixture between (NC1=NON=C1N) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.7,284,1,0,0,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.7,287,1,0,1,Is the mixture between (NCC1CCC(CN)CC1) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.7,296,1,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1ccc(C#Cc2cc(C=O)cc(C=O)c2)cc1) turbid or dissolved?
0.7,314,1,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
0.7,322,0,0,1,Is the mixture between (NCc1ccc(CN)cc1) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
0.7,325,0,1,1,Is the mixture between (NCCOCCN) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
0.7,326,0,0,1,Is the mixture between (NCC1=CC(CN)=CC=C1) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
0.7,336,0,0,0,Is the mixture between (N[C@H]1CCC[C@H](C1)N) and (C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)/C=C/C3=CC=C(C=C3)C=O)/C=C/C4=CC=C(C=C4)C=O)C=O) turbid or dissolved?
0.7,337,1,0,0,Is the mixture between (N[C@@H]1[C@H](CCCC1)N) and (C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)/C=C/C3=CC=C(C=C3)C=O)/C=C/C4=CC=C(C=C4)C=O)C=O) turbid or dissolved?
1.0,3,0,1,1,Is the mixture between (O=Cc1ccc(C=O)cc1) and (Nc1nc(N)nc(N)n1) turbid or dissolved?
1.0,5,0,0,1,Is the mixture between (O=Cc1ccc(-c2ccc(C=O)cc2)cc1) and (Nc1nc(N)nc(N)n1) turbid or dissolved?
1.0,9,0,1,1,Is the mixture between (O=Cc1ccccc1C=O) and (Nc1nc(N)nc(N)n1) turbid or dissolved?
1.0,22,1,1,1,Is the mixture between (O=Cc1c2ccccc2c(C=O)c2ccccc12) and (Cc1c(CN)c(C)c(CN)c(C)c1CN) turbid or dissolved?
1.0,25,0,1,1,Is the mixture between (O=Cc1ccccc1C=O) and (Cc1c(CN)c(C)c(CN)c(C)c1CN) turbid or dissolved?
1.0,30,1,1,1,Is the mixture between (O=Cc1ccc(OCCCOc2ccc(C=O)cc2)cc1) and (Cc1c(CN)c(C)c(CN)c(C)c1CN) turbid or dissolved?
1.0,33,1,1,1,Is the mixture between (CC(C)(C)c1cc(C=O)c(O)c(C=O)c1) and (NCCN(CCN)CCN) turbid or dissolved?
1.0,39,0,1,0,Is the mixture between (O=Cc1ccc2ccc3ccc(C=O)nc3c2n1) and (NCCN(CCN)CCN) turbid or dissolved?
1.0,42,1,0,1,Is the mixture between (Cn1nc(-c2ccc(C=O)cc2)cc1C=O) and (NCCN(CCN)CCN) turbid or dissolved?
1.0,45,0,0,1,Is the mixture between (Cn1nc2c(C=O)cccc2c1C=O) and (NCCN(CCN)CCN) turbid or dissolved?
1.0,46,1,1,1,Is the mixture between (O=Cc1ccc(OCCCOc2ccc(C=O)cc2)cc1) and (NCCN(CCN)CCN) turbid or dissolved?
1.0,55,0,0,1,Is the mixture between (O=Cc1ccc2ccc3ccc(C=O)nc3c2n1) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
1.0,56,0,1,1,Is the mixture between (O=Cc1ccsc1C=O) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
1.0,57,0,1,1,Is the mixture between (O=Cc1ccccc1C=O) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
1.0,63,0,1,1,Is the mixture between (CCCCC(CC)COc1cc(C=O)c(OC)cc1C=O) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
1.0,72,1,1,1,Is the mixture between (O=Cc1ccsc1C=O) and (NCCCN(CCCN)CCCN) turbid or dissolved?
1.0,73,0,1,1,Is the mixture between (O=Cc1ccccc1C=O) and (NCCCN(CCCN)CCCN) turbid or dissolved?
1.0,75,0,1,1,Is the mixture between (CC(C=O)=Cc1ccc(C=C(C)C=O)cc1) and (NCCCN(CCCN)CCCN) turbid or dissolved?
1.0,76,0,1,1,Is the mixture between (COc1cc(C=O)ccc1OCCOc1ccc(C=O)cc1OC) and (NCCCN(CCCN)CCCN) turbid or dissolved?
1.0,77,0,0,1,Is the mixture between (Cn1nc2c(C=O)cccc2c1C=O) and (NCCCN(CCCN)CCCN) turbid or dissolved?
1.0,82,0,1,1,Is the mixture between (O=Cc1cc2sc(C=O)cc2s1) and (NC1CC(N)CC(N)C1) turbid or dissolved?
1.0,84,0,1,1,Is the mixture between (O=Cc1c(F)c(F)c(C=O)c(F)c1F) and (NC1CC(N)CC(N)C1) turbid or dissolved?
1.0,93,0,0,0,Is the mixture between (Cn1nc2c(C=O)cccc2c1C=O) and (NC1CC(N)CC(N)C1) turbid or dissolved?
1.0,108,1,1,1,Is the mixture between (CN(CCCN)CCCN) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
1.0,109,1,1,1,Is the mixture between (NCCOCCN) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
1.0,110,1,1,1,Is the mixture between (NCC1=CC(CN)=CC=C1) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
1.0,113,1,1,1,Is the mixture between (N[C@H]1CC[C@H](N)CC1) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
1.0,114,0,1,0,Is the mixture between (NCCN) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
1.0,116,0,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
1.0,118,0,0,1,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
1.0,119,0,0,0,Is the mixture between (NC1=NON=C1N) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
1.0,124,1,0,0,Is the mixture between (NCc1ccc(CN)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
1.0,139,0,0,0,Is the mixture between (N[C@@H]1[C@H](CCCC1)N) and (O=Cc1cc(C=O)c(O)c(C=O)c1) turbid or dissolved?
1.0,140,1,0,1,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1cc(C=O)c(O)c(C=O)c1) turbid or dissolved?
1.0,145,1,1,1,Is the mixture between (NCCOCCN) and (O=Cc1cc(C=O)c(O)c(C=O)c1) turbid or dissolved?
1.0,153,0,0,0,Is the mixture between (N[C@H]([C@H](C1=CC=CC=C1)N)C2=CC=CC=C2) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
1.0,155,0,0,0,Is the mixture between (NC1=NON=C1N) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
1.0,158,1,1,1,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
1.0,163,1,1,1,Is the mixture between (NCCOCCN) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
1.0,167,1,0,0,Is the mixture between (N[C@H]1CC[C@H](N)CC1) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
1.0,172,0,0,0,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
1.0,176,1,1,0,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
1.0,180,1,1,1,Is the mixture between (CN(CCCN)CCCN) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
1.0,183,1,0,0,Is the mixture between (NCC(CN)O) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
1.0,193,0,0,0,Is the mixture between (N[C@@H]1[C@H](CCCC1)N) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
1.0,197,1,0,0,Is the mixture between (NCC1CCC(CN)CC1) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
1.0,199,1,0,0,Is the mixture between (NCCOCCN) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
1.0,203,1,0,0,Is the mixture between (N[C@H]1CC[C@H](N)CC1) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
1.0,210,0,0,1,Is the mixture between (N[C@H]1CCC[C@H](C1)N) and (O=Cc1cccc(-c2cc(-c3cccc(C=O)c3)cc(-c3cccc(C=O)c3)c2)c1) turbid or dissolved?
1.0,224,1,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
1.0,225,1,0,0,Is the mixture between (N[C@H]([C@H](C1=CC=CC=C1)N)C2=CC=CC=C2) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
1.0,231,1,1,1,Is the mixture between (NCCCCCCN) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
1.0,237,1,0,0,Is the mixture between (NCC(CN)O) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
1.0,244,0,0,0,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1cc(-c2cc(-c3csc(C=O)c3)cc(-c3csc(C=O)c3)c2)cs1) turbid or dissolved?
1.0,255,0,0,0,Is the mixture between (NCC(CN)O) and (O=Cc1cc(-c2cc(-c3csc(C=O)c3)cc(-c3csc(C=O)c3)c2)cs1) turbid or dissolved?
1.0,258,0,0,1,Is the mixture between (NCCN) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
1.0,262,0,0,0,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
1.0,268,1,0,1,Is the mixture between (NCc1ccc(CN)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
1.0,271,1,0,1,Is the mixture between (NCCOCCN) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
1.0,277,1,1,1,Is the mixture between (CC(C)(CN)CN) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
1.0,281,1,0,0,Is the mixture between (NC1=NON=C1N) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
1.0,284,1,0,0,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
1.0,287,1,0,1,Is the mixture between (NCC1CCC(CN)CC1) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
1.0,296,1,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1ccc(C#Cc2cc(C=O)cc(C=O)c2)cc1) turbid or dissolved?
1.0,314,1,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
1.0,322,0,0,1,Is the mixture between (NCc1ccc(CN)cc1) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
1.0,325,0,1,1,Is the mixture between (NCCOCCN) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
1.0,326,0,0,1,Is the mixture between (NCC1=CC(CN)=CC=C1) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
1.0,336,0,0,0,Is the mixture between (N[C@H]1CCC[C@H](C1)N) and (C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)/C=C/C3=CC=C(C=C3)C=O)/C=C/C4=CC=C(C=C4)C=O)C=O) turbid or dissolved?
1.0,337,1,0,0,Is the mixture between (N[C@@H]1[C@H](CCCC1)N) and (C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)/C=C/C3=CC=C(C=C3)C=O)/C=C/C4=CC=C(C=C4)C=O)C=O) turbid or dissolved?
